#,section,subsection,title,verse
110,GOD'S WORK,Creation,"Hallelujah, Praise Jehovah",
111,GOD'S WORK,Creation,This Is My Father's World,
112,GOD'S WORK,Creation,"Praise Ye, Praise Ye the Lord",
113,GOD'S WORK,Creation,The Heavens Declare Thy Glory,
114,GOD'S WORK,Creation,"Lord, Our Lord, Thy Glorious Name",
115,GOD'S WORK,Creation,All Creatures of Our God and King,
116,GOD'S WORK,Creation,For the Beauty of the Earth,
117,GOD'S WORK,Creation,The Spacious Firmament on High,
118,GOD'S WORK,Creation,"Come, Sound His Praise Abroad",
119,GOD'S WORK,Creation,I Sing the Almighty Power of God,
120,GOD'S WORK,Creation,All Things Bright and Beautiful,
121,GOD'S WORK,Creation,"Praise Him, Praise Him, Praise Him",
122,GOD'S WORK,Creation,"God, All Nature Sings Thy Glory",
123,GOD'S WORK,Creation,God of Everlasting Glory,
124,GOD'S WORK,Creation,Praise the Lord Our God,
125,GOD'S WORK,Creation,Let All Things Now Living,
126,GOD'S WORK,Provicence,"My Soul, Bless the Lord!",
127,GOD'S WORK,Provicence,With Songs and Honors Sounding Loud,
128,GOD'S WORK,Provicence,God Moves in a Mysterious Way,
129,GOD'S WORK,Provicence,I Belong to Jesus,
130,GOD'S WORK,Provicence,Showers of Blessing,
131,GOD'S WORK,Provicence,Children of the Heavenly Father,
132,GOD'S WORK,Provicence,O Rejoice in the Lord,
133,GOD'S WORK,Provicence,"God, Who Made the Earth",
134,GOD'S WORK,Provicence,God Will Take Care of You,
135,GOD'S WORK,Provicence,God Sees the Little Sparrow Fall,
136,GOD'S WORD,The Holy Scriptures,Thy Word Have I Hid in My Heart,
137,GOD'S WORD,The Holy Scriptures,"Holy Bible, Book Divine",
138,GOD'S WORD,The Holy Scriptures,"The Heavens Declare Your Glory, Lord",
139,GOD'S WORD,The Holy Scriptures,"Your Word Is like a Garden, Lord",
140,GOD'S WORD,The Holy Scriptures,O Word of God Incarnate,
141,GOD'S WORD,The Holy Scriptures,"God, in the Gospel of His Son",
142,GOD'S WORD,The Holy Scriptures,"Lord, Thy Word Abideth",
143,GOD'S WORD,The Holy Scriptures,How Precious Is the Book Divine,
144,GOD'S WORD,The Holy Scriptures,"Father of Mercies, in Your Word",
145,GOD'S WORD,The Holy Scriptures,The Spirit Breathes upon the Word,
146,GOD'S WORD,The Holy Scriptures,Break Thou the Bread of Life,
147,GOD'S WORD,The Holy Scriptures,"O God of Light, Your Word, a Lamp Unfailing",
148,GOD'S WORD,The Law of God,How Shall the Young Direct Their Way?,
149,GOD'S WORD,The Law of God,"Teach Me, O Lord, Your Way of Truth",
150,GOD'S WORD,The Law of God,The Law of God Is Good and Wise,
151,GOD'S WORD,The Law of God,Jehovah's Perfect Law,
152,GOD'S WORD,The Law of God,The Law of the Lord Is Perfect,
153,GOD'S WORD,The Law of God,Most Perfect Is the Law of God,
154,JESUS CHRIST,The Only Mediator and Redeemer,Thou Art the Way,
155,JESUS CHRIST,The Only Mediator and Redeemer,"O Love, How Deep, How Broad, How High!",
156,JESUS CHRIST,The Only Mediator and Redeemer,"O Lord, How Shall I Meet You",
157,JESUS CHRIST,The Only Mediator and Redeemer,"None Other Lamb, None Other Name",
158,JESUS CHRIST,The Only Mediator and Redeemer,"None Other Lamb, None Other Name",
159,JESUS CHRIST,The Only Mediator and Redeemer,"O Savior, Precious Savior",
160,JESUS CHRIST,The Only Mediator and Redeemer,Shepherd of Tender Youth,
161,JESUS CHRIST,The Only Mediator and Redeemer,"O Christ, Our Hope, Our Heart's Desire",
162,JESUS CHRIST,His Deity,Of the Father's Love Begotten,
163,JESUS CHRIST,His Deity,At the Name of Jesus,
164,JESUS CHRIST,His Praise,O for a Thousand Tongues to Sing,
165,JESUS CHRIST,His Praise,"Ye Servants of God, Your Master Proclaim",
166,JESUS CHRIST,His Praise,"Wondrous King, All-Glorious",
167,JESUS CHRIST,His Praise,When Morning Gilds the Skies,
168,JESUS CHRIST,His Praise,"I Greet The, Who My Sure Redeemer Art",
169,JESUS CHRIST,His Praise,My Heart Does Overflow,
170,JESUS CHRIST,His Praise,Fairest Lord Jesus,
171,JESUS CHRIST,His Praise,Fairest Lord Jesus,
172,JESUS CHRIST,His Praise,Let Us Love and Sing and Wonder,
173,JESUS CHRIST,His Praise,Praise Him! Praise Him!,
174,JESUS CHRIST,His Praise,"O Christ, Our King, Creator, Lord",
175,JESUS CHRIST,His Praise,A Wonderful Savior Is Jesus My Lord,
176,JESUS CHRIST,His Praise,"Hail, Thou Once Despised Jesus!",
177,JESUS CHRIST,His Praise,O Could I Speak the Matchless Worth,
178,JESUS CHRIST,His Praise,There Is No Name So Sweet on Earth,
179,JESUS CHRIST,His Praise,Hallelujah! Thine the Glory,
180,JESUS CHRIST,His Praise,I Will Sing the Wondrous Story,
181,JESUS CHRIST,His Praise,"We Come, O Christ, to You",
182,JESUS CHRIST,His Love and Grace,My Song Is Love Unknown,
183,JESUS CHRIST,His Love and Grace,"Awake, My Soul, in Joyful Lays",
184,JESUS CHRIST,His Love and Grace,The King of Love My Shepherd Is,
185,JESUS CHRIST,His Love and Grace,Majestic Sweetness Sits Enthroned,
186,JESUS CHRIST,His Love and Grace,"One There Is, above All Others",
187,JESUS CHRIST,His Love and Grace,There Were Ninety and Nine,
188,JESUS CHRIST,His Love and Grace,"Jesus, I Am Resting, Resting",
189,JESUS CHRIST,His Love and Grace,"Jesus Loves Me, This I Know",
190,JESUS CHRIST,His Love and Grace,I Think When I Read That Sweet Story of Old,
191,JESUS CHRIST,His Love and Grace,I Am So Glad That Our Father in Heaven,
192,JESUS CHRIST,His Love and Grace,I Am Jesus' Little Lamb,
193,JESUS CHRIST,His Advent,Let All Mortal Flesh Keep Silence,
194,JESUS CHRIST,His Advent,"O Come, O Come, Emmanuel",
195,JESUS CHRIST,His Advent,Joy to the World! The Lord Is Come,
196,JESUS CHRIST,His Advent,"Come, Thou Long-Expected Jesus",
197,JESUS CHRIST,His Advent,"Comfort, Comfort Ye My People",
198,JESUS CHRIST,His Advent,"Lift Up Your Heads, Ye Mighty Gates!",
199,JESUS CHRIST,His Birth,"See, amid the Winter's Snow",
200,JESUS CHRIST,His Birth,It Came upon the Midnight Clear,
201,JESUS CHRIST,His Birth,O Little Town of Bethlehem,
202,JESUS CHRIST,His Birth,O Little Town of Bethlehem,
203,JESUS CHRIST,His Birth,Hark! The Herald Angels Sing,
204,JESUS CHRIST,His Birth,Away in a Manger,
205,JESUS CHRIST,His Birth,Away in a Manger,
206,JESUS CHRIST,His Birth,Brightest and Best of the Sons of the Morning,
207,JESUS CHRIST,His Birth,"Good Christian Men, Rejoice",
208,JESUS CHRIST,His Birth,"O Come, All Ye Faithful",
209,JESUS CHRIST,His Birth,"Christians, Awake, Salute the Happy Morn",
210,JESUS CHRIST,His Birth,Silent Night! Holy Night!,
211,JESUS CHRIST,His Birth,"God Rest You Merry, Gentlemen",
212,JESUS CHRIST,His Birth,Within a Crib My Savior Lay,
213,JESUS CHRIST,His Birth,What Child Is This,
214,JESUS CHRIST,His Birth,Angels We Have Heard on High,
215,JESUS CHRIST,His Birth,While by the Sheep We Watched at Night,
216,JESUS CHRIST,His Birth,"Infant Holy, Infant Lowly",
217,JESUS CHRIST,His Birth,All My Heart This Night Rejoices,
218,JESUS CHRIST,His Birth,"Angels, from the Realms of Glory",
219,JESUS CHRIST,His Birth,"All Praise to Thee, Eternal Lord",
220,JESUS CHRIST,His Birth,From Heaven High I come to You,
221,JESUS CHRIST,His Birth,"Lo, How a Rose E're Blooming",
222,JESUS CHRIST,His Birth,While Shepherds Watched Their Flocks,
223,JESUS CHRIST,His Birth,While Shepherds Watched Their Flocks,
224,JESUS CHRIST,His Birth,"Go, Tell It on the Mountain",
225,JESUS CHRIST,His Birth,Once in Royal David's City,
226,JESUS CHRIST,His Birth,As with Gladness Men of Old,
227,JESUS CHRIST,His Birth,On Christmas Night All Christians Sing,
228,JESUS CHRIST,His Birth,"Say You Never, in the Twilight",
229,JESUS CHRIST,His Birth,Gentle Mary Laid Her Child,
230,JESUS CHRIST,His Birth,Thou Who Wast Rich beyond All Splendor,
231,JESUS CHRIST,His Birth,"Lovely Child, Holy Child",
232,JESUS CHRIST,His Birth,"O Jesus Sweet, O Jesus Mild",
233,JESUS CHRIST,His Birth,To Us a Child of Hope Is Born,
234,JESUS CHRIST,"His Life, Ministry, and Obedience",Tell Me the Story of Jesus,
235,JESUS CHRIST,"His Life, Ministry, and Obedience","All Glory, Laud, and Honor",
236,JESUS CHRIST,"His Life, Ministry, and Obedience",When His Salvation Bringing,
237,JESUS CHRIST,"His Life, Ministry, and Obedience","Ride On, Ride On in Majesty!",
238,JESUS CHRIST,"His Life, Ministry, and Obedience",My Dear Redeemer and My Lord,
239,JESUS CHRIST,"His Life, Ministry, and Obedience","Who Is This, So Weak and Helpless",
240,JESUS CHRIST,"His Life, Ministry, and Obedience",The King of Glory Comes,
241,JESUS CHRIST,"His Life, Ministry, and Obedience",Thou Dost Reign on High,
242,JESUS CHRIST,His Atoning Work,Not All the Blood of Beasts,
243,JESUS CHRIST,His Atoning Work,Praise the Savior Now and Ever,
244,JESUS CHRIST,His Atoning Work,He Was Wounded for Our Transgressions,
245,JESUS CHRIST,His Atoning Work,As Jacob with Travel Was Weary One Day,
246,JESUS CHRIST,His Atoning Work,Man of Sorrows! What a Name,
247,JESUS CHRIST,His Suffering,"O Sacred Head, Now Wounded",
248,JESUS CHRIST,His Suffering,"Ah, Holy Jesus, How Hast Thou Offended",
249,JESUS CHRIST,His Suffering,Tis Midnight; and on Olive's Brow,
250,JESUS CHRIST,His Suffering,Throned upon the Awful Tree,
251,JESUS CHRIST,His Suffering,Beneath the Cross of Jesus,
252,JESUS CHRIST,His Death,When I Survey the Wondrous Cross,
253,JESUS CHRIST,His Death,There Is a Fountain Filled with Blood,
254,JESUS CHRIST,His Death,Alas! And Did My Savior Bleed,
255,JESUS CHRIST,His Death,"O Jesus, We Adore Thee",
256,JESUS CHRIST,His Death,There Is a Green Hill Far Away,
257,JESUS CHRIST,His Death,"Striken, Smitten, and Afflicted",
258,JESUS CHRIST,His Death,"Sweet the Moments, Rich in Blessing",
259,JESUS CHRIST,His Death,Hark! The Voice of Love and Mercy,
260,JESUS CHRIST,His Death,Were You There?,
261,JESUS CHRIST,His Death,What Wondrous Love Is This,
262,JESUS CHRIST,His Death,O Come and Mourn with Me Awhile,
263,JESUS CHRIST,His Death,Lift High the Cross,
264,JESUS CHRIST,His Death,"Jesus, Keep Me near the Cross",
265,JESUS CHRIST,His Resurrection,"Come, Ye Faithful, Raise the Strain",
266,JESUS CHRIST,His Resurrection,"Come, Ye Faithful, Raise the Strain",
267,JESUS CHRIST,His Resurrection,The Day of Resurrection!,
268,JESUS CHRIST,His Resurrection,"Welcome, Happy Morning!",
269,JESUS CHRIST,His Resurrection,"Welcome, Happy Morning!",
270,JESUS CHRIST,His Resurrection,"Good Christian Men, Rejoice and Sing!",
271,JESUS CHRIST,His Resurrection,"Sing, Choirs of New Jerusalem",
272,JESUS CHRIST,His Resurrection,"O Sons and Daughters, Let Us Sing!",
273,JESUS CHRIST,His Resurrection,Jesus Christ Is Risen Today,
274,JESUS CHRIST,His Resurrection,Thine Be the Glory,
275,JESUS CHRIST,His Resurrection,"The Strife Is O're, the Battle Done",
276,JESUS CHRIST,His Resurrection,Up from the Grave He Arose,
277,JESUS CHRIST,His Resurrection,Christ the Lord Is Risen Today,
278,JESUS CHRIST,His Resurrection,That Easter Day with Joy Was Bright,
279,JESUS CHRIST,His Resurrection,Christ Jesus Lay in Death's Strong Bands,
280,JESUS CHRIST,His Resurrection,Christ Is Risen from the Dead,
281,JESUS CHRIST,His Resurrection,"I Know That My Redeemer Lives - Glory, Hallelujah!",
282,JESUS CHRIST,His Resurrection,"Lift Up, Lift Up Your Voices Now",
283,JESUS CHRIST,His Resurrection,Alleluia! Alleluia!,
284,JESUS CHRIST,His Resurrection,This Joyful Eastertide,
285,JESUS CHRIST,His Resurrection,"Jesus, Lord, Redeemer",
286,JESUS CHRIST,His Resurrection,"Worship Christ, the Risen King!",
287,JESUS CHRIST,His Resurrection,Morning Sun,
288,JESUS CHRIST,His Resurrection,Jesus Christ Has Triumphed Now,
289,JESUS CHRIST,His Ascension,A Hymn of Glory Let Us Sing,
290,JESUS CHRIST,His Ascension,Hail the Day That Sees Him Rise,
291,JESUS CHRIST,His Ascension,"See, the Conqueror Mounts in Triumph",
292,JESUS CHRIST,His Ascension,Who Shall Ascend the Mountain of the Lord,
293,JESUS CHRIST,His Ascension,Golden Harps Are Sounding,
294,JESUS CHRIST,His Ascension,The Golden Gates Are Lifted Up,
295,JESUS CHRIST,His Exaltation,Crown Him with Many Crowns,
296,JESUS CHRIST,His Exaltation,All Hail the Power of Jesus' Name!,
297,JESUS CHRIST,His Exaltation,All hail the Power of Jesus' Name!,
298,JESUS CHRIST,His Exaltation,The Head That Once Was Crowned with Thorns,
299,JESUS CHRIST,His Exaltation,"Look, Ye Saints, the Sight Is Glorious",
300,JESUS CHRIST,His Exaltation,Blessing and Honor and Glory and Power,
301,JESUS CHRIST,His Exaltation,Join All the Glorious Names,
302,JESUS CHRIST,His Exaltation,"Come, Christians, Join to Sing",
303,JESUS CHRIST,His Prophetic Office,"Blessed Jesus, at Your Word",
304,JESUS CHRIST,His Prophetic Office,I Heard the Voice of Jesus Say,
305,JESUS CHRIST,His Priestly Intercession,"Arise, My Soul, Arise",
306,JESUS CHRIST,His Priestly Intercession,"Jesus, My Great High Priest",
307,JESUS CHRIST,His Priestly Intercession,Nothing but the Blood,
308,JESUS CHRIST,His Priestly Intercession,Jesus Paid It All,
309,JESUS CHRIST,His Kingly Office,"Rejoice, the Lord Is King",
310,JESUS CHRIST,His Kingly Office,"Rejoice, the Lord Is King",
311,JESUS CHRIST,His Kingly Office,Hail to the Lord's Anointed,
312,JESUS CHRIST,His Kingly Office,"O God, Your Judgments Give the King",
313,JESUS CHRIST,His Kingly Office,Unto My Lord Jehovah Said,
314,JESUS CHRIST,His Kingly Office,O Wherefore Do the Nations Rage,
315,JESUS CHRIST,His Kingly Office,He Walks among the Golden Lamps,
316,JESUS CHRIST,His Second Coming and Judgment,"The Mighty God, the Lord",
317,JESUS CHRIST,His Second Coming and Judgment,"Wake, Awake, for Night Is Flying",
318,JESUS CHRIST,His Second Coming and Judgment,Lo! He Comes with Clouds Descending,
319,JESUS CHRIST,His Second Coming and Judgment,Day of Judgment! Day of Wonders!,
320,JESUS CHRIST,His Second Coming and Judgment,"Rejoice, All Ye Believers",
321,JESUS CHRIST,His Second Coming and Judgment,"Great God, What Do I See and Hear!",
322,JESUS CHRIST,His Second Coming and Judgment,"O Quickly Come, Dread Judge of All",Rev. 22:12
323,JESUS CHRIST,His Second Coming and Judgment,Ten Thousand Times Ten Thousand,
324,JESUS CHRIST,His Second Coming and Judgment,Christ Is Coming!,Titus 2:13
325,JESUS CHRIST,His Second Coming and Judgment,"When He Cometh, When He Cometh",Mal. 3:17
326,JESUS CHRIST,His Second Coming and Judgment,"Thou Art Coming, O My Savior",Rev. 1:7
327,JESUS CHRIST,His Second Coming and Judgment,One Day He's Coming,Heb. 9:28
328,JESUS CHRIST,His Second Coming and Judgment,"My Lord, What a Mourning","Matt. 24:29, 30"
329,THE HOLY SPIRIT,,"Come, O Creator Spirit Blest",
330,THE HOLY SPIRIT,,"Holy Ghost, Dispel Our Sadness",
331,THE HOLY SPIRIT,,"Come, O Come, Thou Quickening Spirit",
332,THE HOLY SPIRIT,,"Come, Holy Spirit, Heavenly Dove",
333,THE HOLY SPIRIT,,"Gracious Spirit, Dove Divine",
334,THE HOLY SPIRIT,,"Breathe on Me, Breath of God",
335,THE HOLY SPIRIT,,"Gracious Spirit, Dwell with Me",
336,THE HOLY SPIRIT,,"Spirit, Strength of All the Weak",
337,THE HOLY SPIRIT,,O Spirit of the Living God,
338,THE HOLY SPIRIT,,"Spirit of God, Descend upon My Heart",
339,THE HOLY SPIRIT,,For Your Gift of God the Spirit,
340,THE HOLY SPIRIT,,"Come, Dearest Lord, Descend and Dwell",
341,THE HOLY SPIRIT,,"O Breath of Life, Come Sweeping through Us",
342,THE CHURCH,The Church of Christ,Christ Is Made the Sure Foundation,
343,THE CHURCH,The Church of Christ,Christ Is Made the Sure Foundation,
344,THE CHURCH,The Church of Christ,O 'Twas a Joyful Sound to Hear,
345,THE CHURCH,The Church of Christ,Glorious Things of Thee Are Spoken,
346,THE CHURCH,The Church of Christ,Hail to the Brightness of Zion's Glad Morning!,
347,THE CHURCH,The Church of Christ,The Church's One Foundation,
348,THE CHURCH,The Church of Christ,"Jesus, with Thy Church Abide",
349,THE CHURCH,The Church of Christ,O Thou Who the Shepherd of Israel Art,
350,THE CHURCH,The Church of Christ,Zion Stands by Hills Surrounded,
351,THE CHURCH,The Church of Christ,Built on the Rock the Church Doth Stand,
352,THE CHURCH,The Church of Christ,"Renew Thy Church, Her Ministries Restore",
353,THE CHURCH,The Church of Christ,"I Love Thy Kingdom, Lord",
354,THE CHURCH,The Church of Christ,"Jesus Christ, Our Sure Foundation",
355,THE CHURCH,The Church of Christ,We Are God's People,
356,THE CHURCH,The Communion of Saints,How Beautiful the Sight,
357,THE CHURCH,The Communion of Saints,Let Our Choir New Anthems Raise,
358,THE CHURCH,The Communion of Saints,For All the Saints,
359,THE CHURCH,The Communion of Saints,Blest Be the Tie That Binds,
360,THE CHURCH,The Covenant People,When in His Might the Lord,
361,THE CHURCH,The Covenant People,O Praise Ye the Lord,
362,THE CHURCH,The Covenant People,"O People Blest, Whose Sons in Youth",
363,THE CHURCH,The Covenant People,We Gather Together,
364,THE CHURCH,The Covenant People,Let Children Hear the Mighty Deeds,
365,THE CHURCH,The Covenant People,Unless the Lord the House Shall Build,
366,THE CHURCH,The Kingdom of God,"My People, Give Ear, Attend to My Word",
367,THE CHURCH,The Kingdom of God,The Lord Will Come and Not Be Slow,
368,THE CHURCH,The Kingdom of God,The Ends of All the Earth Shall Hear,
369,THE CHURCH,The Kingdom of God,"Shout, for the Blessed Jesus Reigns",
370,THE CHURCH,The Kingdom of God,"Revive Thy Work, O Lord",
371,THE CHURCH,The Lord's House,"O Lord of Hosts, How Lovely",
372,THE CHURCH,The Lord's House,Praise Waits for Thee in Zion,
373,THE CHURCH,The Lord's House,"Within Your Temple, Lord",
374,THE CHURCH,The Lord's House,"Arise, O Lord Our God, Arise",
375,THE CHURCH,The Lord's House,Lord of the Worlds Above,
376,THE CHURCH,The Lord's House,Open Now Thy Gates of Beauty,
377,THE CHURCH,The Lord's House,"Jesus, Where'er Your People Meet",
378,THE CHURCH,The Lord's House,"Here, O My Lord, I See Thee Face to Face",
379,THE CHURCH,The Opening of Worship,"Lord Jesus Christ, Be Present Now",
380,THE CHURCH,The Opening of Worship,"Father, Again in Jesus' Name We Meet",
381,THE CHURCH,The Opening of Worship,"Brethren, We Have Met to Worship",
382,THE CHURCH,The Opening of Worship,God Himself Is with Us,
383,THE CHURCH,The Close of Worship,"Almighty God, Your Word Is Cast",
384,THE CHURCH,The Close of Worship,"Lord, Dismiss Us with Your Blessing",
385,THE CHURCH,The Close of Worship,God Be with You Till We Meet Again,
386,THE CHURCH,The Close of Worship,God Be with You Till We Meet Again,
387,THE CHURCH,The Close of Worship,Now May He Who from the Dead,
388,THE CHURCH,The Close of Worship,"Savior, Again to Thy Dear Name We Raise",
389,THE CHURCH,The Lord's Day,This Is the Day the Lord Has Made,
390,THE CHURCH,The Lord's Day,"Lord of the Sabbath, Hear Us Pray",
391,THE CHURCH,The Lord's Day,Safely through Another Week,
392,THE CHURCH,The Lord's Day,O Day of Rest and Gladness,
393,THE CHURCH,The Lord's Day,"Come, Let Us Join with One Accord",
394,THE CHURCH,The Lord's Day,This Day at Thy Creating Word,
395,THE CHURCH,Morning,"Awake, My Soul, and with the Sun",
396,THE CHURCH,Morning,"Come, My Soul, Thou Must Be Waking",
397,THE CHURCH,Morning,"Light of Light, Enlighten Me",
398,THE CHURCH,Morning,"Christ, Whose Glory Fills the Skies",
399,THE CHURCH,Morning,"Lord, As the Day Begins",
400,THE CHURCH,Evening,O Bless Our God with One Accord,
401,THE CHURCH,Evening,"All Praise to Thee, My God, This Night",
402,THE CHURCH,Evening,Abide with Me: Fast Falls the Eventide,
403,THE CHURCH,Evening,"Savior, Breathe and Evening Blessing",
404,THE CHURCH,Evening,"Sun of My Soul, Thou Savior Dear",
405,THE CHURCH,Evening,"God, That Madest Earth and Heaven",
406,THE CHURCH,Evening,Now the Day Is Over,
407,THE CHURCH,Evening,"The Day You Gave Us, Lord, Is Ended",
408,THE CHURCH,Evening,Day Is Dying in the West,
409,THE CHURCH,Evening,Softly Now the Light of Day,
410,THE CHURCH,Baptism,"Lord Jesus Christ, Our Lord Most Dear",
411,THE CHURCH,Baptism,"Shine Thou upon Us, Lord",
412,THE CHURCH,Baptism,See Israel's Gentle Shepherd Stand,
413,THE CHURCH,Baptism,"Our Children, Lord, in Faith and Prayer",
414,THE CHURCH,Baptism,"Dear Lord, Today Our Child",
415,THE CHURCH,Baptism,Baptized into Your name Most Holy,
